iter	Logloss
0	0.6036427634
1	0.5549586763
2	0.5239211937
3	0.4947515451
4	0.4745649245
5	0.4611700757
6	0.4491263703
7	0.4353367581
8	0.4198755624
9	0.410180932
10	0.3991141634
11	0.3902166712
12	0.3838660723
13	0.375247134
14	0.3707683365
15	0.3627431767
16	0.3554220022
17	0.3512918623
18	0.3482914954
19	0.3442856692
20	0.3411579068
21	0.3383142213
22	0.3346842965
23	0.3324875886
24	0.3300140421
25	0.3271893883
26	0.3247154263
27	0.3231024525
28	0.3183158479
29	0.3158207111
30	0.313575465
31	0.3113859808
32	0.309148291
33	0.3069642736
34	0.3049328616
35	0.3009914763
36	0.2998332886
37	0.2986163318
38	0.2972303052
39	0.2952407516
40	0.2938126822
41	0.2921622585
42	0.2899860865
43	0.2888680626
44	0.2876815409
45	0.2860737503
46	0.2842205398
47	0.2829430165
48	0.2816888444
49	0.2807814462
50	0.2789492901
51	0.2778895757
52	0.2768058123
53	0.2749185245
54	0.2739556368
55	0.2729319037
56	0.2717339359
57	0.2686931772
58	0.2673655147
59	0.2664181676
60	0.2652403483
61	0.2643627038
62	0.263721865
63	0.2629079353
64	0.2621723821
65	0.2613349219
66	0.2596633976
67	0.2587910029
68	0.2580231558
69	0.2569785505
70	0.256031625
71	0.2550959871
72	0.2543184292
73	0.253365355
74	0.2525907835
75	0.2519091203
76	0.2514028134
77	0.250690517
78	0.2499912977
79	0.2491629839
80	0.2486467736
81	0.2470757165
82	0.246579074
83	0.2457095907
84	0.2450535292
85	0.2445484241
86	0.2437122917
87	0.2428103796
88	0.2423152401
89	0.2418157766
90	0.2413359592
91	0.2408631767
92	0.2396691308
93	0.23911271
94	0.2386590426
95	0.2378989692
96	0.2374507408
97	0.2368719784
98	0.2363406233
99	0.2356771414
