iter	Passed	Remaining
0	276	27329
1	369	18124
2	466	15094
3	564	13536
4	665	12644
5	758	11890
6	849	11289
7	945	10878
8	1042	10538
9	1138	10243
10	1230	9955
11	1321	9691
12	1410	9441
13	1499	9210
14	1600	9072
15	1692	8885
16	1785	8718
17	1876	8548
18	1990	8484
19	2087	8348
20	2175	8184
21	2262	8021
22	2349	7866
23	2440	7729
24	2528	7585
25	2629	7482
26	2719	7351
27	2810	7226
28	2915	7137
29	3023	7053
30	3117	6939
31	3207	6816
32	3307	6715
33	3399	6598
34	3488	6478
35	3586	6376
36	3683	6271
37	3775	6160
38	3862	6041
39	3951	5927
40	4037	5810
41	4130	5704
42	4223	5598
43	4308	5483
44	4399	5377
45	4485	5265
46	4581	5165
47	4671	5060
48	4763	4957
49	4854	4854
50	4944	4750
51	5030	4643
52	5119	4539
53	5212	4440
54	5302	4338
55	5388	4234
56	5475	4130
57	5573	4035
58	5668	3939
59	5761	3840
60	5850	3740
61	5936	3638
62	6023	3537
63	6111	3437
64	6200	3338
65	6294	3242
66	6392	3148
67	6487	3052
68	6582	2957
69	6678	2862
70	6782	2770
71	6872	2672
72	6973	2579
73	7062	2481
74	7152	2384
75	7237	2285
76	7326	2188
77	7413	2090
78	7499	1993
79	7595	1898
80	7681	1801
81	7770	1705
82	7861	1610
83	7948	1513
84	8035	1417
85	8122	1322
86	8210	1226
87	8296	1131
88	8384	1036
89	8467	940
90	8562	846
91	8655	752
92	8742	658
93	8831	563
94	8920	469
95	9006	375
96	9095	281
97	9181	187
98	9265	93
99	9348	0
